all_families_for_molecule,canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources,target_family
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_001ea1a8994aef21,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 13], [5, 13], [5, 6, 12, 13]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP2A6""]",C/C=C(/C)C(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_b57b61b602772d74,3,"[""AGABNGOXUSXQDD-XKGFZTIGSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[9, 17], [9, 17], [9, 17]]","[""decursinol_angelate"", ""decursinol_angelate"", ""AGABNGOXUSXQDD-XKGFZTIGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP3A4""]",C/C=C/C[C@@H](C)[C@@H](O)[C@@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_31a5fb124470a857,3,"[""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[36, 65], [36, 65], [5, 12, 65, 84]]","[""cyclosporine_a"", ""cyclosporine_a"", ""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](COCCO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e3f4dcaa500caa4,3,"[""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[57, 61, 85], [57, 61, 85], [57, 61, 78, 85]]","[""sdz_imm_125"", ""sdz_imm_125"", ""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C/c1ccccc1,"[""label_regime_mismatch""]",dup_9cf2f9d97ef2535d,3,"[""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 4, 5], [3, 4, 5], [3, 4, 5]]","[""trans_phenylpropene"", ""trans_phenylpropene"", ""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C1/C[C@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_96ad7af855a2e266,3,"[""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[12, 20, 21], [12, 20, 21], [8, 11, 12, 18, 23]]","[""SENECIONINE"", ""SENECIONINE"", ""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2D6""]",C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,"[""site_set_mismatch"", ""site_set_disjoint""]",dup_2bfe7aba935d033c,3,"[""SLRCCWJSBJZJBV-ZQDZILKHSA-N""]","[""multi_exact""]",conflict_preserved,3,"[[7, 11, 12, 13, 15, 16], [1, 6, 7, 11, 13, 14, 15, 16], [0, 8]]","[""sparteine"", ""sparteine"", ""SLRCCWJSBJZJBV-ZQDZILKHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_6146429a768f8059,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_bc8f384645d441a7,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C8
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_80b95c48a2bb46b7,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_32209c6ddcab279a,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e4ad3006dae955fb,3,"[""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[8, 13, 20, 26, 28], [8, 13, 20, 26, 28], [8, 12, 13, 20, 26, 28]]","[""rotenone"", ""rotenone"", ""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2D6"", ""CYP3A4""]",C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_cdd04b7b843363fc,3,"[""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 24], [11, 24], [11, 24]]","[""cj_12_458"", ""cj_12_458"", ""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2D6"", ""CYP3A4""]",C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_824a02821bf20ded,3,"[""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 24], [11, 24], [11, 24]]","[""cj_12_458"", ""cj_12_458"", ""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e8941c06b9ce69e,3,"[""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 12, 23], [1, 12, 23], [1, 12, 13, 15, 23]]","[""riddelliine"", ""riddelliine"", ""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@H]2[C@@H](C)/C=C/[C@@H](C)C(C)C,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_8ec79ccc06356434,3,"[""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[24], [24], [24, 26]]","[""vitamin_d2"", ""vitamin_d2"", ""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2E1""]",C=CC#N,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_3348488b72bca773,3,"[""NLHHRLWOUZZQLW-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""acrylonitrile"", ""acrylonitrile"", ""NLHHRLWOUZZQLW-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC1CO1,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_6d9685900e89e74b,3,"[""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""butadiene_monoxide"", ""butadiene_monoxide"", ""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC1CO1,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_388ddd2d58cf2034,3,"[""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""butadiene_monoxide"", ""butadiene_monoxide"", ""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC1CO1,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_babbbcec5405095a,3,"[""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""butadiene_monoxide"", ""butadiene_monoxide"", ""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC=C,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_8e175d592e4c0e9f,3,"[""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]","[""butadiene"", ""butadiene"", ""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC=C,"[""contains_broad_region_label""]",dup_0b5e40bebda7d425,1,"[""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""broad_region""]",single_source,1,"[[0, 1, 2, 3]]","[""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""MetXBioDB""]",CYP2C9
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC=C,"[""contains_broad_region_label""]",dup_2fb2765966382eff,1,"[""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""broad_region""]",single_source,1,"[[0, 1, 2, 3]]","[""KAKZBPTYRLMSJV-UHFFFAOYSA-N""]","[""MetXBioDB""]",CYP2E1
"[""CYP3A4""]",C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@@H](O)[C@H]2C[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)[C@H](C)[C@@H](O)CC1=O,"[""site_set_mismatch""]",dup_65598a8e73bd1832,3,"[""OKRZOXIQNKYTBL-ZNPYSLGISA-N""]","[""single_exact""]",partial_agreement_union,1,"[[13], [13], [12, 13]]","[""fk_506_M1"", ""fk_506_M1"", ""OKRZOXIQNKYTBL-ZNPYSLGISA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,"[""site_set_mismatch""]",dup_3455576d30141907,3,"[""QJJXYPPXXYFBGM-LFZNUXCKSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[7], [7], [7, 22]]","[""fk_506"", ""fk_506"", ""QJJXYPPXXYFBGM-LFZNUXCKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=CCc1cc(OC)c2c(c1)OCO2,"[""site_set_mismatch""]",dup_2ae5ca135f5207c3,3,"[""BNWJOHGLIBDBOB-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[0], [0], [0, 2, 9]]","[""myristicin"", ""myristicin"", ""BNWJOHGLIBDBOB-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP1A2"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1""]",C=CCc1ccc(O)c(OC)c1,"[""site_set_mismatch""]",dup_a4ad248d7ef1e1d2,3,"[""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[6], [6], [4, 6]]","[""eugenol"", ""eugenol"", ""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
"[""CYP1A2"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1""]",C=CCc1ccc(O)c(OC)c1,"[""site_set_mismatch""]",dup_fbf84eeab83c0153,3,"[""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[6], [6], [4, 6]]","[""eugenol"", ""eugenol"", ""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1""]",C=CCc1ccc(O)c(OC)c1,"[""site_set_mismatch""]",dup_0ae7a95d131b61fd,3,"[""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[6], [6], [4, 6]]","[""eugenol"", ""eugenol"", ""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP1A2"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1""]",C=CCc1ccc(O)c(OC)c1,"[""site_set_mismatch""]",dup_843d114062699430,3,"[""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[6], [6], [4, 6]]","[""eugenol"", ""eugenol"", ""RRAFCDWBNXTKKO-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP1A2"", ""CYP2A6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C=CCc1ccc2c(c1)OCO2,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_6c45964227bc8e6e,3,"[""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 9, 10, 11]]","[""safrole"", ""safrole"", ""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP1A2"", ""CYP2A6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C=CCc1ccc2c(c1)OCO2,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_1b72994894065a7e,3,"[""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 9, 10, 11]]","[""safrole"", ""safrole"", ""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP1A2"", ""CYP2A6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C=CCc1ccc2c(c1)OCO2,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_72a02feccede3fc7,3,"[""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 9, 10, 11]]","[""safrole"", ""safrole"", ""ZMQAAUBTXCXRIC-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP2B6"", ""CYP2E1""]",C=C[C@@H]1CC=CCC1,"[""label_regime_mismatch"", ""contains_broad_region_label"", ""tier_assignment_mismatch""]",dup_0527f8ba53802017,3,"[""BBDKZWKEPDTENS-MRVPVSSYSA-N""]","[""broad_region"", ""tiered_multisite""]",conflict_preserved,3,"[[0, 1, 4, 5], [0, 1, 4, 5], [0, 1, 4, 5]]","[""4-vinylcyclohexene"", ""4-vinylcyclohexene"", ""BBDKZWKEPDTENS-MRVPVSSYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP2B6"", ""CYP2E1""]",C=C[C@@H]1CC=CCC1,"[""label_regime_mismatch"", ""contains_broad_region_label"", ""tier_assignment_mismatch""]",dup_03191711a3b948ea,3,"[""BBDKZWKEPDTENS-MRVPVSSYSA-N""]","[""broad_region"", ""tiered_multisite""]",conflict_preserved,3,"[[0, 1, 4, 5], [0, 1, 4, 5], [0, 1, 4, 5]]","[""4-vinylcyclohexene"", ""4-vinylcyclohexene"", ""BBDKZWKEPDTENS-MRVPVSSYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
