all_families_for_molecule,canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources,target_family
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_f33f2f72f5f36803,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3C(=C)C[C@@]21C,[],dup_ef3fe37adaf86617,3,"[""YJSTYQGZKJHXLN-SSFAQJFESA-N""]","[""single_exact""]",exact_agreement,1,"[[8], [8], [8]]","[""org_30659"", ""org_30659"", ""YJSTYQGZKJHXLN-SSFAQJFESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2C19"", ""CYP2C9""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,[],dup_ae93784b97a22251,3,"[""RPLCPCMSCLEKRS-BPIQYHPVSA-N""]","[""single_exact""]",exact_agreement,1,"[[11], [11], [11]]","[""desogestrel"", ""desogestrel"", ""RPLCPCMSCLEKRS-BPIQYHPVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP2C19"", ""CYP2C9""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,[],dup_ae9eb78c300065bd,3,"[""RPLCPCMSCLEKRS-BPIQYHPVSA-N""]","[""single_exact""]",exact_agreement,1,"[[11], [11], [11]]","[""desogestrel"", ""desogestrel"", ""RPLCPCMSCLEKRS-BPIQYHPVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[],dup_a3977dc76d7af7c4,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""single_exact""]",exact_agreement,1,"[[14], [14], [14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[],dup_a2c41540db02ffdf,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""single_exact""]",exact_agreement,1,"[[14], [14], [14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[],dup_098235e2288f9669,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""single_exact""]",exact_agreement,1,"[[14], [14], [14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C8
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[],dup_9cc04950acbc60b9,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""single_exact""]",exact_agreement,1,"[[14], [14], [14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_11c6a65e01cd2c87,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 14], [10, 14], [10, 14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,"[""site_set_mismatch""]",dup_ed45bef29eec4a05,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[5, 13], [5, 13], [5, 6, 12, 13]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,[],dup_f6f05386448dbfa3,1,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""single_exact""]",single_source,1,"[[5, 6]]","[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""MetXBioDB""]",CYP2A6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,[],dup_83bd2d514ff29735,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[15, 27], [15, 27], [15, 27]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_001ea1a8994aef21,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 13], [5, 13], [5, 6, 12, 13]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,[],dup_2ef030e2259a6c91,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[9], [9], [9]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2A6""]",C/C=C(/C)C(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_b57b61b602772d74,3,"[""AGABNGOXUSXQDD-XKGFZTIGSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[9, 17], [9, 17], [9, 17]]","[""decursinol_angelate"", ""decursinol_angelate"", ""AGABNGOXUSXQDD-XKGFZTIGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP3A4""]",C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,[],dup_b9b73f3855aec43c,3,"[""YJDYDFNKCBANTM-QCWCSKBGSA-N""]","[""multi_exact""]",exact_agreement,1,"[[42, 49], [42, 49], [42, 49]]","[""valspodar"", ""valspodar"", ""YJDYDFNKCBANTM-QCWCSKBGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C/C[C@@H](C)[C@@H](O)[C@@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_31a5fb124470a857,3,"[""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[36, 65], [36, 65], [5, 12, 65, 84]]","[""cyclosporine_a"", ""cyclosporine_a"", ""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](COCCO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e3f4dcaa500caa4,3,"[""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[57, 61, 85], [57, 61, 85], [57, 61, 78, 85]]","[""sdz_imm_125"", ""sdz_imm_125"", ""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C/c1ccccc1,"[""label_regime_mismatch""]",dup_9cf2f9d97ef2535d,3,"[""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 4, 5], [3, 4, 5], [3, 4, 5]]","[""trans_phenylpropene"", ""trans_phenylpropene"", ""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C/C=C1/C[C@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_96ad7af855a2e266,3,"[""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[12, 20, 21], [12, 20, 21], [8, 11, 12, 18, 23]]","[""SENECIONINE"", ""SENECIONINE"", ""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2B6"", ""CYP2D6"", ""CYP3A4""]",C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,[],dup_92dd3feb5bb4c9a5,3,"[""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[12, 15], [12, 15], [12, 15]]","[""perhexiline"", ""perhexiline"", ""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP2B6"", ""CYP2D6"", ""CYP3A4""]",C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,[],dup_aee65a3c9a39010e,3,"[""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[12, 15], [12, 15], [12, 15]]","[""perhexiline"", ""perhexiline"", ""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2B6"", ""CYP2D6"", ""CYP3A4""]",C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,[],dup_0d69683c41624c04,3,"[""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[12, 15], [12, 15], [12, 15]]","[""perhexiline"", ""perhexiline"", ""CYXKNKQEMFBLER-GOSISDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2D6""]",C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,"[""site_set_mismatch"", ""site_set_disjoint""]",dup_2bfe7aba935d033c,3,"[""SLRCCWJSBJZJBV-ZQDZILKHSA-N""]","[""multi_exact""]",conflict_preserved,3,"[[7, 11, 12, 13, 15, 16], [1, 6, 7, 11, 13, 14, 15, 16], [0, 8]]","[""sparteine"", ""sparteine"", ""SLRCCWJSBJZJBV-ZQDZILKHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_6146429a768f8059,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_bc8f384645d441a7,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C8
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_80b95c48a2bb46b7,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_32209c6ddcab279a,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e4ad3006dae955fb,3,"[""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[8, 13, 20, 26, 28], [8, 13, 20, 26, 28], [8, 12, 13, 20, 26, 28]]","[""rotenone"", ""rotenone"", ""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2D6"", ""CYP3A4""]",C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_cdd04b7b843363fc,3,"[""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 24], [11, 24], [11, 24]]","[""cj_12_458"", ""cj_12_458"", ""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP2D6"", ""CYP3A4""]",C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_824a02821bf20ded,3,"[""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 24], [11, 24], [11, 24]]","[""cj_12_458"", ""cj_12_458"", ""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,[],dup_493c6f80074b8c14,1,"[""AVOLMBLBETYQHX-UHFFFAOYSA-N""]","[""single_exact""]",single_source,1,[[9]],"[""Etacrynic acid""]","[""Rudik_external""]",CYP3A4
"[""CYP3A4""]",C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e8941c06b9ce69e,3,"[""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 12, 23], [1, 12, 23], [1, 12, 13, 15, 23]]","[""riddelliine"", ""riddelliine"", ""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP3A4""]",C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@H]2[C@@H](C)/C=C/[C@@H](C)C(C)C,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_8ec79ccc06356434,3,"[""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[24], [24], [24, 26]]","[""vitamin_d2"", ""vitamin_d2"", ""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP2E1""]",C=CC#N,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_3348488b72bca773,3,"[""NLHHRLWOUZZQLW-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""acrylonitrile"", ""acrylonitrile"", ""NLHHRLWOUZZQLW-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP2A6"", ""CYP2C9"", ""CYP2E1""]",C=CC1CO1,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_6d9685900e89e74b,3,"[""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""butadiene_monoxide"", ""butadiene_monoxide"", ""GXBYFVGCMPJVJX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
