all_labeled_site_atoms,annotation_family,annotation_label_regime,citation,doi,duplicate_group_id,enzyme_family,merge_policy_used,output_label_regime,output_row_id,primary_site_atoms,secondary_site_atoms,site_source,source_file,source_record_id,tertiary_site_atoms
"[1, 4]",CYP1A2,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_b685320b95c39a4f,CYP1A2,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/1A2.sdf,selegiline,[]
"[1, 3, 4]",CYP1A2,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_b685320b95c39a4f,CYP1A2,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
"[1, 4]",CYP2A6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_866ae8f9a2919610,CYP2A6,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2A6.sdf,selegiline,[]
"[1, 4]",CYP2A6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_866ae8f9a2919610,CYP2A6,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2A6.sdf,selegiline,[]
"[1, 3, 4]",CYP2A6,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_866ae8f9a2919610,CYP2A6,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
"[1, 4]",CYP2B6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_05c75696b11a64a5,CYP2B6,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2B6.sdf,selegiline,[]
"[1, 4]",CYP2B6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_05c75696b11a64a5,CYP2B6,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2B6.sdf,selegiline,[]
"[1, 3, 4]",CYP2B6,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_05c75696b11a64a5,CYP2B6,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
"[1, 4]",CYP2C19,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_6ceb0b9267595ceb,CYP2C19,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C19.sdf,selegiline,[]
"[1, 4]",CYP2C19,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_6ceb0b9267595ceb,CYP2C19,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C19.sdf,selegiline,[]
"[1, 3, 4]",CYP2C19,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_6ceb0b9267595ceb,CYP2C19,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
[1],CYP2C9,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_edeee78e06e9fef6,CYP2C9,partial_agreement_union,single_exact,selegiline,[1],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C9.sdf,selegiline,[]
[1],CYP2C9,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_edeee78e06e9fef6,CYP2C9,partial_agreement_union,single_exact,selegiline,[1],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C9.sdf,selegiline,[]
"[1, 3]",CYP2C9,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_edeee78e06e9fef6,CYP2C9,partial_agreement_union,single_exact,selegiline,[1],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
"[1, 4]",CYP2D6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_b59fc4c6c8f8fe31,CYP2D6,partial_agreement_union,tiered_multisite,selegiline,[1],[4],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2D6.sdf,selegiline,[]
"[1, 4]",CYP2D6,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_b59fc4c6c8f8fe31,CYP2D6,partial_agreement_union,tiered_multisite,selegiline,[1],[4],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2D6.sdf,selegiline,[]
"[1, 3, 4]",CYP2D6,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_b59fc4c6c8f8fe31,CYP2D6,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
[1],CYP2E1,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_565205ccf414967d,CYP2E1,partial_agreement_union,single_exact,selegiline,[1],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2E1.sdf,selegiline,[]
[1],CYP2E1,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_565205ccf414967d,CYP2E1,partial_agreement_union,single_exact,selegiline,[1],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2E1.sdf,selegiline,[]
"[1, 3]",CYP2E1,single_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_565205ccf414967d,CYP2E1,partial_agreement_union,single_exact,selegiline,[1],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
"[1, 4]",CYP3A4,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_f33f2f72f5f36803,CYP3A4,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,selegiline,[]
"[1, 4]",CYP3A4,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_f33f2f72f5f36803,CYP3A4,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,selegiline,[]
"[1, 3, 4]",CYP3A4,multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_f33f2f72f5f36803,CYP3A4,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
[8],CYP3A4,single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002",,dup_ef3fe37adaf86617,CYP3A4,exact_agreement,single_exact,org_30659,[8],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,org_30659,[]
[8],CYP3A4,single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002",,dup_ef3fe37adaf86617,CYP3A4,exact_agreement,single_exact,org_30659,[8],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,org_30659,[]
[8],CYP3A4,single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002 PMID: 11871398",,dup_ef3fe37adaf86617,CYP3A4,exact_agreement,single_exact,org_30659,[8],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,YJSTYQGZKJHXLN-SSFAQJFESA-N,[]
[11],CYP2C19,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae93784b97a22251,CYP2C19,exact_agreement,single_exact,desogestrel,[11],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C19.sdf,desogestrel,[]
[11],CYP2C19,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae93784b97a22251,CYP2C19,exact_agreement,single_exact,desogestrel,[11],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C19.sdf,desogestrel,[]
[11],CYP2C19,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae93784b97a22251,CYP2C19,exact_agreement,single_exact,desogestrel,[11],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,RPLCPCMSCLEKRS-BPIQYHPVSA-N,[]
[11],CYP2C9,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae9eb78c300065bd,CYP2C9,exact_agreement,single_exact,desogestrel,[11],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C9.sdf,desogestrel,[]
[11],CYP2C9,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae9eb78c300065bd,CYP2C9,exact_agreement,single_exact,desogestrel,[11],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C9.sdf,desogestrel,[]
[11],CYP2C9,single_exact,"Gentile et al.,J. Pharm. Exp. Ther.,287,975,1998",,dup_ae9eb78c300065bd,CYP2C9,exact_agreement,single_exact,desogestrel,[11],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,RPLCPCMSCLEKRS-BPIQYHPVSA-N,[]
[14],CYP1A2,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_a3977dc76d7af7c4,CYP1A2,exact_agreement,single_exact,ethinylestradiol,[14],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/1A2.sdf,ethinylestradiol,[]
[14],CYP1A2,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_a3977dc76d7af7c4,CYP1A2,exact_agreement,single_exact,ethinylestradiol,[14],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/1A2.sdf,ethinylestradiol,[]
[14],CYP1A2,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_a3977dc76d7af7c4,CYP1A2,exact_agreement,single_exact,ethinylestradiol,[14],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
[14],CYP2C19,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_a2c41540db02ffdf,CYP2C19,exact_agreement,single_exact,ethinylestradiol,[14],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C19.sdf,ethinylestradiol,[]
[14],CYP2C19,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_a2c41540db02ffdf,CYP2C19,exact_agreement,single_exact,ethinylestradiol,[14],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C19.sdf,ethinylestradiol,[]
[14],CYP2C19,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_a2c41540db02ffdf,CYP2C19,exact_agreement,single_exact,ethinylestradiol,[14],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
[14],CYP2C8,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_098235e2288f9669,CYP2C8,exact_agreement,single_exact,ethinylestradiol,[14],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C8.sdf,ethinylestradiol,[]
[14],CYP2C8,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_098235e2288f9669,CYP2C8,exact_agreement,single_exact,ethinylestradiol,[14],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C8.sdf,ethinylestradiol,[]
[14],CYP2C8,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_098235e2288f9669,CYP2C8,exact_agreement,single_exact,ethinylestradiol,[14],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
[14],CYP2C9,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_9cc04950acbc60b9,CYP2C9,exact_agreement,single_exact,ethinylestradiol,[14],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C9.sdf,ethinylestradiol,[]
[14],CYP2C9,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_9cc04950acbc60b9,CYP2C9,exact_agreement,single_exact,ethinylestradiol,[14],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C9.sdf,ethinylestradiol,[]
[14],CYP2C9,single_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_9cc04950acbc60b9,CYP2C9,exact_agreement,single_exact,ethinylestradiol,[14],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
"[10, 14]",CYP3A4,tiered_multisite,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_11c6a65e01cd2c87,CYP3A4,partial_agreement_union,tiered_multisite,ethinylestradiol,[14],[10],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,ethinylestradiol,[]
"[10, 14]",CYP3A4,tiered_multisite,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_11c6a65e01cd2c87,CYP3A4,partial_agreement_union,tiered_multisite,ethinylestradiol,[14],[10],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,ethinylestradiol,[]
"[10, 14]",CYP3A4,multi_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_11c6a65e01cd2c87,CYP3A4,partial_agreement_union,tiered_multisite,ethinylestradiol,"[10, 14]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
"[5, 13]",CYP1A2,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_ed45bef29eec4a05,CYP1A2,partial_agreement_union,multi_exact,cinnarizine,"[5, 13]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/1A2.sdf,cinnarizine,[]
"[5, 13]",CYP1A2,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_ed45bef29eec4a05,CYP1A2,partial_agreement_union,multi_exact,cinnarizine,"[5, 13]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/1A2.sdf,cinnarizine,[]
"[5, 6, 12, 13]",CYP1A2,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_ed45bef29eec4a05,CYP1A2,partial_agreement_union,multi_exact,cinnarizine,"[5, 13]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
"[5, 6]",CYP2A6,single_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_f6f05386448dbfa3,CYP2A6,single_source,single_exact,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[5],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
"[15, 27]",CYP2B6,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_83bd2d514ff29735,CYP2B6,partial_agreement_union,multi_exact,cinnarizine,"[15, 27]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2B6.sdf,cinnarizine,[]
"[15, 27]",CYP2B6,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_83bd2d514ff29735,CYP2B6,partial_agreement_union,multi_exact,cinnarizine,"[15, 27]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2B6.sdf,cinnarizine,[]
"[15, 27]",CYP2B6,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_83bd2d514ff29735,CYP2B6,partial_agreement_union,multi_exact,cinnarizine,"[15, 27]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
"[5, 13]",CYP2C9,tiered_multisite,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_001ea1a8994aef21,CYP2C9,partial_agreement_union,tiered_multisite,cinnarizine,[5],[13],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2C9.sdf,cinnarizine,[]
"[5, 13]",CYP2C9,tiered_multisite,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_001ea1a8994aef21,CYP2C9,partial_agreement_union,tiered_multisite,cinnarizine,[5],[13],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2C9.sdf,cinnarizine,[]
"[5, 6, 12, 13]",CYP2C9,multi_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_001ea1a8994aef21,CYP2C9,partial_agreement_union,tiered_multisite,cinnarizine,"[5, 13]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
[9],CYP2D6,single_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_2ef030e2259a6c91,CYP2D6,partial_agreement_union,single_exact,cinnarizine,[9],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2D6.sdf,cinnarizine,[]
[9],CYP2D6,single_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514.",,dup_2ef030e2259a6c91,CYP2D6,partial_agreement_union,single_exact,cinnarizine,[9],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2D6.sdf,cinnarizine,[]
[9],CYP2D6,single_exact,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_2ef030e2259a6c91,CYP2D6,partial_agreement_union,single_exact,cinnarizine,[9],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
"[9, 17]",CYP2A6,multi_exact,"Yoo et al.,Drug Metab. Disp.,35,1759,2007",10.1124/dmd.107.016584,dup_b57b61b602772d74,CYP2A6,conflict_preserved,multi_exact,decursinol_angelate,"[9, 17]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2A6.sdf,decursinol_angelate,[]
