canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources
C=CCc1cc(OC)c2c(c1)OCO2,"[""site_set_mismatch""]",dup_2ae5ca135f5207c3,3,"[""BNWJOHGLIBDBOB-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[0], [0], [0, 2, 9]]","[""myristicin"", ""myristicin"", ""BNWJOHGLIBDBOB-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_b426cda2d5bb7c2e,3,"[""LOUPRKONTZGTKE-LHHVKLHASA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[7, 9], [7, 9], [7, 9]]","[""quinidine"", ""quinidine"", ""LOUPRKONTZGTKE-LHHVKLHASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_b6d1af9e7a063673,3,"[""LOUPRKONTZGTKE-WZBLMQSHSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[13], [13], [2, 5, 10, 13]]","[""quinine"", ""quinine"", ""LOUPRKONTZGTKE-WZBLMQSHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=Cc1ccccc1,"[""label_regime_mismatch"", ""contains_broad_region_label""]",dup_95859bf9f79c6a3c,3,"[""PPBRXRYQALVLMV-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[0, 1], [0, 1], [0, 1]]","[""styrene"", ""styrene"", ""PPBRXRYQALVLMV-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e08bf7ab6606a31f,3,"[""VKHAHZOOUSRJNA-GCNJZUOMSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[27, 28, 31], [27, 28, 31], [27, 28, 30, 31]]","[""mifepristone"", ""mifepristone"", ""VKHAHZOOUSRJNA-GCNJZUOMSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_aa01f072dd8689e4,3,"[""QTXVAVXCBMYBJW-HNNXBMFYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 12], [10, 12], [10, 12]]","[""warfarin-s"", ""warfarin-s"", ""QTXVAVXCBMYBJW-HNNXBMFYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_4e8332eb43b8ca0c,3,"[""QTXVAVXCBMYBJW-OAHLLOKOSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 12], [2, 12], [2, 12]]","[""warfarin-r"", ""warfarin-r"", ""QTXVAVXCBMYBJW-OAHLLOKOSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,"[""site_set_mismatch""]",dup_03a3c92046340779,3,"[""CBIAWPMZSFFRGN-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [0, 1]]","[""indiplon"", ""indiplon"", ""CBIAWPMZSFFRGN-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(=O)Nc1ccc(O)cc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""contains_broad_region_label""]",dup_756421e0faae9d58,3,"[""RZVAJINKPMORJF-UHFFFAOYSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[1, 10], [1, 10], [0, 1, 2, 3, 4, 6, 8, 10]]","[""acetaminophen"", ""acetaminophen"", ""RZVAJINKPMORJF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_c3e2222c77eb1d91,3,"[""RJKFOVLPORLFTN-LEKSSAKUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[9, 10, 14, 17], [9, 10, 14, 17], [9, 10, 14, 17]]","[""progesterone"", ""progesterone"", ""RJKFOVLPORLFTN-LEKSSAKUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_cb8be973082ac5cc,3,"[""CBVCZFGXHXORBI-PXQQMZJSSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[4, 5, 14, 33], [4, 5, 14, 33], [4, 5, 14, 19, 33]]","[""indinavir"", ""indinavir"", ""CBVCZFGXHXORBI-PXQQMZJSSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)(C)c1ccc(C(=O)CCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,"[""site_set_mismatch""]",dup_725dc162b52d59f0,3,"[""VPIRRYIYIPYTGX-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[0], [0], [0, 6]]","[""ebastine"", ""ebastine"", ""VPIRRYIYIPYTGX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_fffb1ffc3a35ad06,3,"[""GUGOEEXESWIERI-PMERELPUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 15, 18, 29], [5, 15, 18, 29], [0, 5, 15, 18, 29]]","[""terfenadine"", ""terfenadine"", ""GUGOEEXESWIERI-PMERELPUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_ae5c62c0a6b4a60c,3,"[""UCHDWCPVSPXUMX-TZIWLTJVSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 23], [3, 23], [3, 23]]","[""montelukast"", ""montelukast"", ""UCHDWCPVSPXUMX-TZIWLTJVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)/N=C(N)/N=C(\N)NOCCCOc1cc(Cl)c(Cl)cc1Cl,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_f8aa077c64b2d28d,3,"[""LXMYLZNSNKNNEJ-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[7, 11], [7, 11], [11]]","[""ps_15"", ""ps_15"", ""LXMYLZNSNKNNEJ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)/N=C(N)/N=C(\N)NOCCCOc1ccc(OC(F)(F)F)cc1Cl,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_f94327e31561a264,3,"[""NDJYKXNKFMMXEW-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[10, 20], [10, 20], [10]]","[""jpc_2056"", ""jpc_2056"", ""NDJYKXNKFMMXEW-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CNC(=O)/C(=C\c2ccccc2)N(C)C1=O,"[""site_set_mismatch""]",dup_ae0042babd801814,3,"[""SIIRBDOFKDACOK-YQMBXKBSSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[7], [7], [7, 11]]","[""tentoxin"", ""tentoxin"", ""SIIRBDOFKDACOK-YQMBXKBSSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)C[C@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1,"[""site_set_mismatch""]",dup_c3f9a03153e9ef97,3,"[""UNAANXDKBXWMLN-INIZCTEOSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 18], [0, 18], [0, 9, 18]]","[""sibutramine"", ""sibutramine"", ""UNAANXDKBXWMLN-INIZCTEOSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)C(O)O,"[""contains_broad_region_label""]",dup_e9b1c86719491f2d,1,"[""BMIMGBIOLNWHGX-HOTGVXAUSA-N""]","[""broad_region""]",single_source,1,"[[1, 11]]","[""GXJABQQUPOEUTA-RDJZCZTQSA-N""]","[""MetXBioDB""]"
CC(C)N(CC[C@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,"[""site_set_mismatch""]",dup_94a08516d7255c72,3,"[""UVTNFZQICZKOEM-NRFANRHFSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[1, 22], [1, 22], [1, 3, 22]]","[""disopyramide"", ""disopyramide"", ""UVTNFZQICZKOEM-NRFANRHFSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_021f3eb8cd5ae242,3,"[""SSOLNOMRVKKSON-UHFFFAOYSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[3, 8], [3, 8], [3]]","[""proguanil"", ""proguanil"", ""SSOLNOMRVKKSON-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1,"[""site_set_mismatch""]",dup_854b4e6823ebd530,3,"[""VHYCDWMUTMEGQY-QGZVFWFLSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[22], [22], [21, 22]]","[""bisoprolol"", ""bisoprolol"", ""VHYCDWMUTMEGQY-QGZVFWFLSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_9bd8aafcb2c57a01,3,"[""WHBIGIKBNXZKFE-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[7, 12], [7, 12], [0, 1, 2, 3, 7, 8, 10, 12]]","[""delavirdine"", ""delavirdine"", ""WHBIGIKBNXZKFE-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,"[""site_set_mismatch""]",dup_d9fa5772c87dbc08,3,"[""SFBODOKJTYAUCM-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [1, 3]]","[""ipriflavone"", ""ipriflavone"", ""SFBODOKJTYAUCM-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3c4cccc5[nH]cc(c45)C[C@@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)CN2C1=O,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_028b2588c525403b,3,"[""YJUGYRAWLRIQHU-JJCPZVKWSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[25, 28], [25, 28], [25, 28]]","[""alpha_dihydroergocryptine"", ""alpha_dihydroergocryptine"", ""YJUGYRAWLRIQHU-JJCPZVKWSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_19899e3a855cbba3,3,"[""USMNOWBWPHYOEA-XKSSXDPKSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 2, 6, 9], [1, 2, 6, 9], [1, 2, 6, 9]]","[""beta_thujone"", ""beta_thujone"", ""USMNOWBWPHYOEA-XKSSXDPKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_21a5cb630c2a6e36,3,"[""USMNOWBWPHYOEA-MRTMQBJTSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 2, 6, 9], [1, 2, 6, 9], [1, 2, 6, 9]]","[""alpha_thujone"", ""alpha_thujone"", ""USMNOWBWPHYOEA-MRTMQBJTSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,"[""label_regime_mismatch"", ""site_set_mismatch"", ""site_set_disjoint"", ""tier_assignment_mismatch""]",dup_1c174d966c0f811a,4,"[""XUKUURHRXDUEBC-KAYWLYCHSA-N""]","[""multi_exact"", ""tiered_multisite""]",conflict_preserved,4,"[[12, 20, 34], [12, 20, 34], [12, 20, 34], [32, 40]]","[""atorvastatin"", ""atorvastatin"", ""XUKUURHRXDUEBC-KAYWLYCHSA-N"", ""Atovastatin""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB"", ""Rudik_external""]"
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""site_set_disjoint"", ""tier_assignment_mismatch""]",dup_da5805f5a531406e,4,"[""NKANXQFJJICGDU-QPLCGJKRSA-N""]","[""multi_exact"", ""single_exact"", ""tiered_multisite""]",conflict_preserved,4,"[[7, 8, 11, 14, 18], [7, 8, 11, 14, 18], [7, 8, 11, 14, 18, 21], [9]]","[""tamoxifen"", ""tamoxifen"", ""NKANXQFJJICGDU-QPLCGJKRSA-N"", ""tamoxifen""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB"", ""Peng_external""]"
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_952f2df8a4dae0a6,3,"[""QOIGKGMMAGJZNZ-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 6, 9, 10, 19, 25], [3, 6, 9, 10, 19, 25], [3, 6, 9, 10, 12]]","[""gepirone"", ""gepirone"", ""QOIGKGMMAGJZNZ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_395a349f132e19ba,3,"[""SHGAZHPCJJPHSC-YCNIQYBTSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 12], [3, 12], [3, 12]]","[""trans_retinoic_acid"", ""trans_retinoic_acid"", ""SHGAZHPCJJPHSC-YCNIQYBTSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""contains_broad_region_label""]",dup_72e645e746161d15,3,"[""FPIPGXGPPPQFEQ-OVSJKPMPSA-N""]","[""broad_region"", ""single_exact""]",conflict_preserved,3,"[[3], [3], [2, 3]]","[""all_trans_retinol"", ""all_trans_retinol"", ""FPIPGXGPPPQFEQ-OVSJKPMPSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,"[""site_set_mismatch""]",dup_17d692add54b4404,3,"[""USSIQXCVUWKGNF-QGZVFWFLSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[17, 22], [17, 22], [8, 17, 22]]","[""methadone"", ""methadone"", ""USSIQXCVUWKGNF-QGZVFWFLSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,"[""site_set_mismatch""]",dup_43216213eaed9fa6,3,"[""ALFGKMXHOUSVAD-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 7]]","[""ketobemidone"", ""ketobemidone"", ""ALFGKMXHOUSVAD-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_c080d1f18c186e69,3,"[""IDBPHNDTYPBSNI-UHFFFAOYSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 27], [10, 27], [10, 18, 27, 28]]","[""alfentanil"", ""alfentanil"", ""IDBPHNDTYPBSNI-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,"[""site_set_mismatch""]",dup_2dc17de11025f721,3,"[""PJMPHNIQZUBGLI-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[18], [18], [18, 19]]","[""fentanyl"", ""fentanyl"", ""PJMPHNIQZUBGLI-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
