all_labeled_site_atoms,annotation_label_regime,citation,doi,duplicate_group_id,merge_policy_used,output_label_regime,output_row_id,primary_site_atoms,secondary_site_atoms,site_source,source_file,source_record_id,tertiary_site_atoms
"[42, 49]",multi_exact,"Fischer et al.,Drug Metab. Disp.,26,802,1998",,dup_b9b73f3855aec43c,exact_agreement,multi_exact,valspodar,"[42, 49]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,valspodar,[]
"[42, 49]",multi_exact,"Fischer et al.,Drug Metab. Disp.,26,802,1998",,dup_b9b73f3855aec43c,exact_agreement,multi_exact,valspodar,"[42, 49]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,valspodar,[]
"[42, 49]",multi_exact,"Fischer et al.,Drug Metab. Disp.,26,802,1998 PMID: 9698296",,dup_b9b73f3855aec43c,exact_agreement,multi_exact,valspodar,"[42, 49]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,YJDYDFNKCBANTM-QCWCSKBGSA-N,[]
"[36, 65]",tiered_multisite,"Dai et al.,Biochem. Pharmacol.,68,1889,2004",,dup_31a5fb124470a857,partial_agreement_union,tiered_multisite,cyclosporine_a,[65],[36],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,cyclosporine_a,[]
"[36, 65]",tiered_multisite,"Dai et al.,Biochem. Pharmacol.,68,1889,2004",,dup_31a5fb124470a857,partial_agreement_union,tiered_multisite,cyclosporine_a,[65],[36],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,cyclosporine_a,[]
"[5, 12, 65, 84]",multi_exact,"Dai et al.,Biochem. Pharmacol.,68,1889,2004 PMID: 15450954",,dup_31a5fb124470a857,partial_agreement_union,tiered_multisite,cyclosporine_a,"[5, 12, 65]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PMATZTZNYRCHOR-UITTWSBISA-N,[]
"[57, 61, 85]",tiered_multisite,"Vickers et al.,Drug Metab. Disp.,23,321,1995",,dup_2e3f4dcaa500caa4,partial_agreement_union,tiered_multisite,sdz_imm_125,[57],[85],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,sdz_imm_125,[61]
"[57, 61, 85]",tiered_multisite,"Vickers et al.,Drug Metab. Disp.,23,321,1995",,dup_2e3f4dcaa500caa4,partial_agreement_union,tiered_multisite,sdz_imm_125,[57],[85],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,sdz_imm_125,[61]
"[57, 61, 78, 85]",multi_exact,"Vickers et al.,Drug Metab. Disp.,23,321,1995 PMID: 7628296",,dup_2e3f4dcaa500caa4,partial_agreement_union,tiered_multisite,sdz_imm_125,"[57, 61, 85]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,XZDDMPMZGYEESG-VNHFGJPGSA-N,[]
"[3, 4, 5]",tiered_multisite,"Sanga et al.,Tox. Appl. Pharmacol.,211,148,2006",,dup_9cf2f9d97ef2535d,partial_agreement_union,tiered_multisite,trans_phenylpropene,[5],[4],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,trans_phenylpropene,[3]
"[3, 4, 5]",tiered_multisite,"Sanga et al.,Tox. Appl. Pharmacol.,211,148,2006",,dup_9cf2f9d97ef2535d,partial_agreement_union,tiered_multisite,trans_phenylpropene,[5],[4],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,trans_phenylpropene,[3]
"[3, 4, 5]",single_exact,"Sanga et al.,Tox. Appl. Pharmacol.,211,148,2006 PMID: 16038959",,dup_9cf2f9d97ef2535d,partial_agreement_union,tiered_multisite,trans_phenylpropene,[5],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,QROGIFZRVHSFLM-QHHAFSJGSA-N,[]
"[12, 20, 21]",tiered_multisite,"Reed et al.,Carciniogenesis,12,515,1991",,dup_96ad7af855a2e266,partial_agreement_union,tiered_multisite,SENECIONINE,"[20, 21]",[12],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,SENECIONINE,[]
"[12, 20, 21]",tiered_multisite,"Reed et al.,Carciniogenesis,12,515,1991",,dup_96ad7af855a2e266,partial_agreement_union,tiered_multisite,SENECIONINE,"[20, 21]",[12],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,SENECIONINE,[]
"[8, 11, 12, 18, 23]",single_exact,"Reed et al.,Carciniogenesis,12,515,1991 PMID: 2009596",,dup_96ad7af855a2e266,partial_agreement_union,tiered_multisite,SENECIONINE,[12],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,HKODIGSRFALUTA-RCDLFFMESA-N,[]
"[12, 15]",multi_exact,"Davies et al.,Drug Metab. Disp.,35,128,2007",10.1124/dmd.106.012252,dup_0d69683c41624c04,partial_agreement_union,multi_exact,perhexiline,"[12, 15]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,perhexiline,[]
"[12, 15]",multi_exact,"Davies et al.,Drug Metab. Disp.,35,128,2007",10.1124/dmd.106.012252,dup_0d69683c41624c04,partial_agreement_union,multi_exact,perhexiline,"[12, 15]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,perhexiline,[]
"[12, 15]",multi_exact,"Davies et al.,Drug Metab. Disp.,35,128,2007",,dup_0d69683c41624c04,partial_agreement_union,multi_exact,perhexiline,"[12, 15]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,CYXKNKQEMFBLER-GOSISDBHSA-N,[]
[],unknown,"Bapiro et al.,Biochem. Pharm.,64,1387,2002 PMID: 12392820",,dup_1ab4f1bb53f26da4,single_source,broad_region,SLRCCWJSBJZJBV-ZQDZILKHSA-N,[],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,SLRCCWJSBJZJBV-ZQDZILKHSA-N,[]
"[2, 8]",tiered_multisite,"Miyazawa et al.,Drug Metab. Disp.,30,602,2002",10.1124/dmd.30.5.602,dup_32209c6ddcab279a,partial_agreement_union,tiered_multisite,limonene,[2],[8],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,limonene,[]
"[2, 8]",tiered_multisite,"Miyazawa et al.,Drug Metab. Disp.,30,602,2002",10.1124/dmd.30.5.602,dup_32209c6ddcab279a,partial_agreement_union,tiered_multisite,limonene,[2],[8],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,limonene,[]
"[2, 8]",multi_exact,"Miyazawa et al.,Drug Metab. Disp.,30,602,2002",,dup_32209c6ddcab279a,partial_agreement_union,tiered_multisite,limonene,"[2, 8]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,XMGQYMWWDOXHJM-SNVBAGLBSA-N,[]
"[8, 13, 20, 26, 28]",tiered_multisite,"Caboni et al.,Chem. Res. Toxicol.,17,1540,2004",,dup_e4ad3006dae955fb,partial_agreement_union,tiered_multisite,rotenone,[8],"[20, 26, 28]",ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,rotenone,[13]
"[8, 13, 20, 26, 28]",tiered_multisite,"Caboni et al.,Chem. Res. Toxicol.,17,1540,2004",,dup_e4ad3006dae955fb,partial_agreement_union,tiered_multisite,rotenone,[8],"[20, 26, 28]",CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,rotenone,[13]
"[8, 12, 13, 20, 26, 28]",multi_exact,"Caboni et al.,Chem. Res. Toxicol.,17,1540,2004 PMID: 15540952",,dup_e4ad3006dae955fb,partial_agreement_union,tiered_multisite,rotenone,"[8, 13, 26]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,JUVIOZPCNVVQFO-MAODMQOUSA-N,[]
"[11, 24]",tiered_multisite,"Obach,Drug Metab. Disp.,29,1057,2001",,dup_824a02821bf20ded,partial_agreement_union,tiered_multisite,cj_12_458,[11],[24],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,cj_12_458,[]
"[11, 24]",tiered_multisite,"Obach,Drug Metab. Disp.,29,1057,2001",,dup_824a02821bf20ded,partial_agreement_union,tiered_multisite,cj_12_458,[11],[24],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,cj_12_458,[]
"[11, 24]",single_exact,"Obach,Drug Metab. Disp.,29,1057,2001 PMID: 11408374",,dup_824a02821bf20ded,partial_agreement_union,tiered_multisite,cj_12_458,[24],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,CVTMENNEXOZZEZ-IOWSJCHKSA-N,[]
[9],single_exact,,,dup_493c6f80074b8c14,single_source,single_exact,Etacrynic acid,[],[],Rudik_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Rudik_external_dataset/Rudik_external_dataset.sdf,Etacrynic acid,[]
"[1, 12, 23]",tiered_multisite,"Xia et al.,Chem. Res. Toxicol.,16,66,2003",10.1021/tx025605i,dup_2e8941c06b9ce69e,partial_agreement_union,tiered_multisite,riddelliine,"[1, 23]",[12],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,riddelliine,[]
"[1, 12, 23]",tiered_multisite,"Xia et al.,Chem. Res. Toxicol.,16,66,2003",10.1021/tx025605i,dup_2e8941c06b9ce69e,partial_agreement_union,tiered_multisite,riddelliine,"[1, 23]",[12],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,riddelliine,[]
"[1, 12, 13, 15, 23]",single_exact,"Xia et al.,Chem. Res. Toxicol.,16,66,2003 PMID: 12693032
Yao, J., Li, C., Gong, L. et al. Hepatic cytochrome P450s play a major role in monocrotaline-induced renal toxicity in mice. Acta Pharmacol Sin 35, 292�C300 (2014).",,dup_2e8941c06b9ce69e,partial_agreement_union,tiered_multisite,riddelliine,[12],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,SVCNNZDUGWLODJ-RAYFHMIRSA-N,[]
[24],single_exact,"Gupta et al.,J. Clin. Endocr. Metab.,90,1210,2005",,dup_8ec79ccc06356434,partial_agreement_union,multi_exact,MECHNRXZTMCUDQ-PXQSPDBHSA-N,[24],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,vitamin_d2,[]
[24],single_exact,"Gupta et al.,J. Clin. Endocr. Metab.,90,1210,2005",,dup_8ec79ccc06356434,partial_agreement_union,multi_exact,MECHNRXZTMCUDQ-PXQSPDBHSA-N,[24],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,vitamin_d2,[]
"[24, 26]",multi_exact,"Gupta et al.,J. Clin. Endocr. Metab.,90,1210,2005 PMID: 15546903",,dup_8ec79ccc06356434,partial_agreement_union,multi_exact,MECHNRXZTMCUDQ-PXQSPDBHSA-N,"[24, 26]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MECHNRXZTMCUDQ-PXQSPDBHSA-N,[]
[],unknown,"Kedderis et al., Chem. Res. Toxicol., 1993, 6, 866-871 PMID: 8117926",,dup_adc3e42720b305db,single_source,broad_region,NLHHRLWOUZZQLW-UHFFFAOYSA-N,[],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,NLHHRLWOUZZQLW-UHFFFAOYSA-N,[]
[],unknown,"R.J. Deuscher and A.A. Elfarra, Arch. Biochem. Biophys., 1994, 311, 342-349
R.S. and etc. Contributions of Human Enzymes in Carcinogen Metabolism, doi:10.1021/tx300132k",,dup_e990c6257501ee04,single_source,broad_region,KAKZBPTYRLMSJV-UHFFFAOYSA-N,[],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,KAKZBPTYRLMSJV-UHFFFAOYSA-N,[]
[13],single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992",,dup_65598a8e73bd1832,partial_agreement_union,single_exact,fk_506_M1,[13],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,fk_506_M1,[]
[13],single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992",,dup_65598a8e73bd1832,partial_agreement_union,single_exact,fk_506_M1,[13],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,fk_506_M1,[]
"[12, 13]",single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992 PMID: 1373595",,dup_65598a8e73bd1832,partial_agreement_union,single_exact,fk_506_M1,[13],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,OKRZOXIQNKYTBL-ZNPYSLGISA-N,[]
[7],single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992",,dup_3455576d30141907,partial_agreement_union,single_exact,fk_506,[7],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,fk_506,[]
[7],single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992",,dup_3455576d30141907,partial_agreement_union,single_exact,fk_506,[7],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,fk_506,[]
"[7, 22]",single_exact,"Vincent et al.,Arch. Biochem. Biophys.,294,454,1992 PMID: 1373595",,dup_3455576d30141907,partial_agreement_union,single_exact,fk_506,[7],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,QJJXYPPXXYFBGM-LFZNUXCKSA-N,[]
[0],single_exact,"Yun et al.,Toxicol. Lett.,137,143,2002",,dup_2ae5ca135f5207c3,partial_agreement_union,single_exact,myristicin,[0],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,myristicin,[]
[0],single_exact,"Yun et al.,Toxicol. Lett.,137,143,2002",,dup_2ae5ca135f5207c3,partial_agreement_union,single_exact,myristicin,[0],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,myristicin,[]
"[0, 2, 9]",single_exact,"Yun et al.,Toxicol. Lett.,137,143,2002 PMID: 12523956",,dup_2ae5ca135f5207c3,partial_agreement_union,single_exact,myristicin,[0],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BNWJOHGLIBDBOB-UHFFFAOYSA-N,[]
"[3, 19]",multi_exact,,,dup_aeb24ffb6f2db807,single_source,multi_exact,magnolol,[],[],Peng_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Peng_external_dataset/Peng_external_dataset.sdf,magnolol,[]
[3],single_exact,"Ueng et al.,Chem. Res. Toxicol.,17,1151,2004",10.1021/tx030055p,dup_39b1f1bcaaafe7f3,exact_agreement,single_exact,safrole,[3],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,safrole,[]
[3],single_exact,"Ueng et al.,Chem. Res. Toxicol.,17,1151,2004",10.1021/tx030055p,dup_39b1f1bcaaafe7f3,exact_agreement,single_exact,safrole,[3],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,safrole,[]
[3],single_exact,"Ueng et al.,Chem. Res. Toxicol.,17,1151,2004
Wang, B., & Zhou, S. F. (2009). Synthetic and natural compounds that interact with human cytochrome P450 1A2 and implications in drug development. Current medicinal chemistry, 16(31), 4066-4218.",,dup_39b1f1bcaaafe7f3,exact_agreement,single_exact,safrole,[3],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,[]
"[7, 9]",tiered_multisite,"Nielsen et al.,J. Pharmacol. Exp. Ther.,289,31,1999",,dup_b426cda2d5bb7c2e,partial_agreement_union,tiered_multisite,quinidine,[7],[9],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,quinidine,[]
"[7, 9]",tiered_multisite,"Nielsen et al.,J. Pharmacol. Exp. Ther.,289,31,1999",,dup_b426cda2d5bb7c2e,partial_agreement_union,tiered_multisite,quinidine,[7],[9],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,quinidine,[]
"[7, 9]",multi_exact,"Nielsen et al.,J. Pharmacol. Exp. Ther.,289,31,1999",,dup_b426cda2d5bb7c2e,partial_agreement_union,tiered_multisite,quinidine,"[7, 9]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,LOUPRKONTZGTKE-LHHVKLHASA-N,[]
[13],single_exact,"Mirghani et al.,Drug Metab. Disp.,30,1368,2002
Zhao et al.,J. Pharmacol. Exp. Ther.,279,1327,1996",,dup_b6d1af9e7a063673,partial_agreement_union,multi_exact,LOUPRKONTZGTKE-WZBLMQSHSA-N,[13],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,quinine,[]
[13],single_exact,"Mirghani et al.,Drug Metab. Disp.,30,1368,2002
Zhao et al.,J. Pharmacol. Exp. Ther.,279,1327,1996",,dup_b6d1af9e7a063673,partial_agreement_union,multi_exact,LOUPRKONTZGTKE-WZBLMQSHSA-N,[13],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,quinine,[]
"[2, 5, 10, 13]",multi_exact,"Zhao et al.,J. Pharmacol. Exp. Ther.,279,1327,1996
Mirghani et al.,Drug Metab. Disp.,30,1368,2002
Marcsisin, Sean R., et al. ""CYP450 phenotyping and metabolite identification of quinine by accurate mass UPLC-MS analysis: a possible metabolic link to blackwater fever."" Malaria journal 12.1 (2013): 214.",,dup_b6d1af9e7a063673,partial_agreement_union,multi_exact,LOUPRKONTZGTKE-WZBLMQSHSA-N,"[10, 13]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,LOUPRKONTZGTKE-WZBLMQSHSA-N,[]
"[0, 1]",multi_exact,"Nakajima et al.,Chem. Res. Toxicol.,7,891,1994",10.1021/tx00042a026,dup_95859bf9f79c6a3c,conflict_preserved,multi_exact,styrene,"[0, 1]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,styrene,[]
"[0, 1]",multi_exact,"Nakajima et al.,Chem. Res. Toxicol.,7,891,1994",10.1021/tx00042a026,dup_95859bf9f79c6a3c,conflict_preserved,multi_exact,styrene,"[0, 1]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,styrene,[]
"[0, 1]",broad_region,"Nakajima et al.,Chem. Res. Toxicol.,7,891,1994 PMID:7696548",,dup_95859bf9f79c6a3c,conflict_preserved,broad_region,PPBRXRYQALVLMV-UHFFFAOYSA-N,[],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PPBRXRYQALVLMV-UHFFFAOYSA-N,[]
"[27, 28, 31]",tiered_multisite,"Jang et al.,Biochem. Pharm.,52,753,1996",,dup_e08bf7ab6606a31f,partial_agreement_union,tiered_multisite,mifepristone,"[28, 31]",[27],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,mifepristone,[]
"[27, 28, 31]",tiered_multisite,"Jang et al.,Biochem. Pharm.,52,753,1996",,dup_e08bf7ab6606a31f,partial_agreement_union,tiered_multisite,mifepristone,"[28, 31]",[27],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,mifepristone,[]
"[27, 28, 30, 31]",multi_exact,"Jang et al.,Biochem. Pharm.,52,753,1996 PMID: 8765473",,dup_e08bf7ab6606a31f,partial_agreement_union,tiered_multisite,mifepristone,"[27, 28, 31]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,VKHAHZOOUSRJNA-GCNJZUOMSA-N,[]
"[10, 12]",tiered_multisite,"Rendic,Drug Metab. Rev.,34,83,2002",,dup_aa01f072dd8689e4,partial_agreement_union,tiered_multisite,warfarin-s,[10],[12],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,warfarin-s,[]
"[10, 12]",tiered_multisite,"Rendic,Drug Metab. Rev.,34,83,2002",,dup_aa01f072dd8689e4,partial_agreement_union,tiered_multisite,warfarin-s,[10],[12],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,warfarin-s,[]
"[10, 12]",multi_exact,"Rendic,Drug Metab. Rev.,34,83,2002
L.S. Kaminsky et al., Mol. Pharmacol., 1993, 43, 234-239",,dup_aa01f072dd8689e4,partial_agreement_union,tiered_multisite,warfarin-s,"[10, 12]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,QTXVAVXCBMYBJW-HNNXBMFYSA-N,[]
"[2, 12]",tiered_multisite,"Rendic,Drug Metab. Rev.,34,83,2002",,dup_4e8332eb43b8ca0c,partial_agreement_union,tiered_multisite,warfarin-r,[12],[2],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,warfarin-r,[]
"[2, 12]",tiered_multisite,"Rendic,Drug Metab. Rev.,34,83,2002",,dup_4e8332eb43b8ca0c,partial_agreement_union,tiered_multisite,warfarin-r,[12],[2],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,warfarin-r,[]
"[2, 12]",multi_exact,"Rendic,Drug Metab. Rev.,34,83,2002 PMID:11996015 
L.S. Kaminsky et al., Mol. Pharmacol., 1993, 43, 234-239
Zhang, Z., Fasco, M. J., Huang, Z., Guengerich, F. P. and Kaminsky, L. S. ( 1995) Human cytochromes P450 1A1 and 1A2: R-warfarin as a probe Drug Metab. Dispos. 23, 1339?????? 1345 PMID:8689941",,dup_4e8332eb43b8ca0c,partial_agreement_union,tiered_multisite,warfarin-r,"[2, 12]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,QTXVAVXCBMYBJW-OAHLLOKOSA-N,[]
[1],single_exact,"Madan et al.,Xenobiotica,37,736,2007",10.1080/00498250701433054,dup_03a3c92046340779,partial_agreement_union,single_exact,indiplon,[1],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,indiplon,[]
[1],single_exact,"Madan et al.,Xenobiotica,37,736,2007",10.1080/00498250701433054,dup_03a3c92046340779,partial_agreement_union,single_exact,indiplon,[1],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,indiplon,[]
